source,target,word_count,sentiment
Mrs. Bennet,Mr. Bennet,14,0.3818
Mrs. Bennet,Mr. Bennet,17,0.0
Mrs. Bennet,Mr. Bennet,10,-0.0572
Mr. Bennet,Mrs. Bennet,13,-0.2263
Mrs. Bennet,Mr. Bennet,79,0.8062
Mr. Bennet,Mrs. Bennet,4,0.0
Mrs. Bennet,Mr. Bennet,1,0.0
Mr. Bennet,Mrs. Bennet,5,0.0
Mrs. Bennet,Mr. Bennet,26,0.7633
Mr. Bennet,Mrs. Bennet,7,0.0
Mrs. Bennet,Mr. Bennet,23,0.4389
Mr. Bennet,Mrs. Bennet,7,0.0
Mrs. Bennet,Mr. Bennet,33,0.7604
Mr. Bennet,Mrs. Bennet,45,0.9231
Mrs. Bennet,Mr. Bennet,42,0.9071
Mr. Bennet,Mrs. Bennet,13,-0.4717
Mrs. Bennet,Mr. Bennet,17,0.5267
Mr. Bennet,Mrs. Bennet,10,0.6222
Mrs. Bennet,Mr. Bennet,57,0.0772
Mr. Bennet,Mrs. Bennet,55,0.908
Mrs. Bennet,Mr. Bennet,44,0.8366
Mr. Bennet,Mrs. Bennet,28,0.25
Mrs. Bennet,Mr. Bennet,27,-0.7184
Mr. Bennet,Mrs. Bennet,31,0.7184
Mrs. Bennet,Mr. Bennet,8,0.484
Mr. Bennet,Mrs. Bennet,24,0.5927
Mrs. Bennet,Mr. Bennet,18,-0.296
Mr. Bennet,Mrs. Bennet,15,0.3818
Mr. Bennet,Mary,8,0.6597
Mr. Bennet,Elizabeth,8,0.6597
Mr. Bennet,Lydia,8,0.6597
Mr. Bennet,Mrs. Bennet,8,0.6597
Mr. Bennet,Kitty,8,0.6597
Mrs. Bennet,Mary,18,0.4215
Mrs. Bennet,Elizabeth,18,0.4215
Mrs. Bennet,Lydia,18,0.4215
Mrs. Bennet,Kitty,18,0.4215
Mrs. Bennet,Mr. Bennet,18,0.4215
Elizabeth,Mary,21,0.2263
Elizabeth,Mrs. Bennet,21,0.2263
Elizabeth,Lydia,21,0.2263
Elizabeth,Kitty,21,0.2263
Elizabeth,Mr. Bennet,21,0.2263
Mrs. Bennet,Mary,31,-0.8074
Mrs. Bennet,Elizabeth,31,-0.8074
Mrs. Bennet,Lydia,31,-0.8074
Mrs. Bennet,Kitty,31,-0.8074
Mrs. Bennet,Mr. Bennet,31,-0.8074
Mr. Bennet,Mary,19,0.2023
Mr. Bennet,Elizabeth,19,0.2023
Mr. Bennet,Lydia,19,0.2023
Mr. Bennet,Mrs. Bennet,19,0.2023
Mr. Bennet,Kitty,19,0.2023
Mrs. Bennet,Mary,20,0.3816
Mrs. Bennet,Elizabeth,20,0.3816
Mrs. Bennet,Lydia,20,0.3816
Mrs. Bennet,Kitty,20,0.3816
Mrs. Bennet,Mr. Bennet,20,0.3816
Mr. Bennet,Mary,11,-0.6124
Mr. Bennet,Elizabeth,11,-0.6124
Mr. Bennet,Lydia,11,-0.6124
