source,target,word_count,sentiment,timestamp
Mrs. Bennet,Mr. Bennet,14,0.3818,1
Mrs. Bennet,Mr. Bennet,17,0.0,1
Mrs. Bennet,Mr. Bennet,10,-0.0572,1
Mr. Bennet,Mrs. Bennet,13,-0.2263,1
Mrs. Bennet,Mr. Bennet,79,0.8062,1
Mr. Bennet,Mrs. Bennet,4,0.0,1
Mrs. Bennet,Mr. Bennet,1,0.0,1
Mr. Bennet,Mrs. Bennet,5,0.0,1
Mrs. Bennet,Mr. Bennet,26,0.7633,1
Mr. Bennet,Mrs. Bennet,7,0.0,1
Mrs. Bennet,Mr. Bennet,23,0.4389,1
Mr. Bennet,Mrs. Bennet,7,0.0,1
Mrs. Bennet,Mr. Bennet,33,0.7604,1
Mr. Bennet,Mrs. Bennet,45,0.9231,1
Mrs. Bennet,Mr. Bennet,42,0.9071,1
Mr. Bennet,Mrs. Bennet,13,-0.4717,1
Mrs. Bennet,Mr. Bennet,17,0.5267,1
Mr. Bennet,Mrs. Bennet,10,0.6222,1
Mrs. Bennet,Mr. Bennet,57,0.0772,1
Mr. Bennet,Mrs. Bennet,55,0.908,1
Mrs. Bennet,Mr. Bennet,44,0.8366,1
Mr. Bennet,Mrs. Bennet,28,0.25,1
Mrs. Bennet,Mr. Bennet,27,-0.7184,1
Mr. Bennet,Mrs. Bennet,31,0.7184,1
Mrs. Bennet,Mr. Bennet,8,0.484,1
Mr. Bennet,Mrs. Bennet,24,0.5927,1
Mrs. Bennet,Mr. Bennet,18,-0.296,1
Mr. Bennet,Mrs. Bennet,15,0.3818,1
Mr. Bennet,Mary,8,0.6597,2
Mr. Bennet,Elizabeth,8,0.6597,2
Mr. Bennet,Lydia,8,0.6597,2
Mr. Bennet,Mrs. Bennet,8,0.6597,2
Mr. Bennet,Kitty,8,0.6597,2
Mrs. Bennet,Mary,18,0.4215,2
Mrs. Bennet,Elizabeth,18,0.4215,2
Mrs. Bennet,Lydia,18,0.4215,2
Mrs. Bennet,Kitty,18,0.4215,2
Mrs. Bennet,Mr. Bennet,18,0.4215,2
Elizabeth,Mary,21,0.2263,2
Elizabeth,Mrs. Bennet,21,0.2263,2
Elizabeth,Lydia,21,0.2263,2
Elizabeth,Kitty,21,0.2263,2
Elizabeth,Mr. Bennet,21,0.2263,2
Mrs. Bennet,Mary,31,-0.8074,2
Mrs. Bennet,Elizabeth,31,-0.8074,2
Mrs. Bennet,Lydia,31,-0.8074,2
Mrs. Bennet,Kitty,31,-0.8074,2
Mrs. Bennet,Mr. Bennet,31,-0.8074,2
Mr. Bennet,Mary,19,0.2023,2
Mr. Bennet,Elizabeth,19,0.2023,2
Mr. Bennet,Lydia,19,0.2023,2
Mr. Bennet,Mrs. Bennet,19,0.2023,2
Mr. Bennet,Kitty,19,0.2023,2
Mrs. Bennet,Mary,20,0.3816,2
Mrs. Bennet,Elizabeth,20,0.3816,2
Mrs. Bennet,Lydia,20,0.3816,2
Mrs. Bennet,Kitty,20,0.3816,2
Mrs. Bennet,Mr. Bennet,20,0.3816,2
Mr. Bennet,Mary,11,-0.6124,2
Mr. Bennet,Elizabeth,11,-0.6124,2
Mr. Bennet,Lydia,11,-0.6124,2
Mr. Bennet,Mrs. Bennet,11,-0.6124,2
Mr. Bennet,Kitty,11,-0.6124,2
Kitty,Mary,8,0.3612,2
Kitty,Elizabeth,8,0.3612,2
Kitty,Lydia,8,0.3612,2
Kitty,Mrs. Bennet,8,0.3612,2
Kitty,Mr. Bennet,8,0.3612,2
Elizabeth,Mary,2,0.0,2
Elizabeth,Mrs. Bennet,2,0.0,2
Elizabeth,Lydia,2,0.0,2
Elizabeth,Kitty,2,0.0,2
Elizabeth,Mr. Bennet,2,0.0,2
Mrs. Bennet,Mary,32,0.0,2
Mrs. Bennet,Elizabeth,32,0.0,2
Mrs. Bennet,Lydia,32,0.0,2
Mrs. Bennet,Kitty,32,0.0,2
Mrs. Bennet,Mr. Bennet,32,0.0,2
Mr. Bennet,Mary,17,0.7783,2
Mr. Bennet,Elizabeth,17,0.7783,2
Mr. Bennet,Lydia,17,0.7783,2
Mr. Bennet,Mrs. Bennet,17,0.7783,2
Mr. Bennet,Kitty,17,0.7783,2
Mrs. Bennet,Mary,18,0.0,2
Mrs. Bennet,Elizabeth,18,0.0,2
Mrs. Bennet,Lydia,18,0.0,2
Mrs. Bennet,Kitty,18,0.0,2
Mrs. Bennet,Mr. Bennet,18,0.0,2
Mr. Bennet,Mary,68,0.8608,2
Mr. Bennet,Elizabeth,68,0.8608,2
Mr. Bennet,Lydia,68,0.8608,2
Mr. Bennet,Mrs. Bennet,68,0.8608,2
Mr. Bennet,Kitty,68,0.8608,2
Mrs. Bennet,Mary,2,-0.69,2
Mrs. Bennet,Elizabeth,2,-0.69,2
Mrs. Bennet,Lydia,2,-0.69,2
Mrs. Bennet,Kitty,2,-0.69,2
Mrs. Bennet,Mr. Bennet,2,-0.69,2
Mr. Bennet,Mary,55,-0.5051,2
Mr. Bennet,Elizabeth,55,-0.5051,2
Mr. Bennet,Lydia,55,-0.5051,2
Mr. Bennet,Mrs. Bennet,55,-0.5051,2
Mr. Bennet,Kitty,55,-0.5051,2
Mr. Bennet,Mary,12,0.0,2
Mr. Bennet,Elizabeth,12,0.0,2
Mr. Bennet,Lydia,12,0.0,2
Mr. Bennet,Mrs. Bennet,12,0.0,2
Mr. Bennet,Kitty,12,0.0,2
Mrs. Bennet,Mary,6,-0.5106,2
Mrs. Bennet,Elizabeth,6,-0.5106,2
Mrs. Bennet,Lydia,6,-0.5106,2
Mrs. Bennet,Kitty,6,-0.5106,2
Mrs. Bennet,Mr. Bennet,6,-0.5106,2
Mr. Bennet,Mary,49,0.2899,2
Mr. Bennet,Elizabeth,49,0.2899,2
Mr. Bennet,Lydia,49,0.2899,2
Mr. Bennet,Mrs. Bennet,49,0.2899,2
Mrs. Bennet,Mary,62,0.9733,2
Mrs. Bennet,Elizabeth,62,0.9733,2
Mrs. Bennet,Lydia,62,0.9733,2
Mrs. Bennet,Mr. Bennet,62,0.9733,2
Mr. Bennet,Mary,10,0.0,2
Mr. Bennet,Elizabeth,10,0.0,2
Mr. Bennet,Lydia,10,0.0,2
Mr. Bennet,Mrs. Bennet,10,0.0,2
Mr. Bennet,Kitty,10,0.0,2
Mrs. Bennet,Mary,78,0.8402,2
Mrs. Bennet,Elizabeth,78,0.8402,2
Mrs. Bennet,Lydia,78,0.8402,2
Mrs. Bennet,Kitty,78,0.8402,2
Lydia,Mary,14,0.0,2
Lydia,Elizabeth,14,0.0,2
Lydia,Mrs. Bennet,14,0.0,2
Lydia,Kitty,14,0.0,2
Mrs. Bennet,Mr. Bennet,27,0.6871,3
Mr. Bingley,Mr. Darcy,25,-0.7003,3
Mr. Darcy,Mr. Bingley,54,0.7736,3
Mr. Bingley,Mr. Darcy,41,0.895,3
